2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:26 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:27 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_STOP | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:28 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:29 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
2025-04-18 12:24:29 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:29 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:29 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:29 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_FORWARD | 
2025-04-18 12:24:29 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:30 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:30 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:30 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_RIGHT | 
2025-04-18 12:24:30 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:30 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:30 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:31 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_LEFT | 
2025-04-18 12:24:31 | TYPE: MAN | STATUS: FAILED | MESSAGE: MAN_BACKWARD | 
